"","Acc_Index","Vehicle_Reference","Casualty_Reference","Casualty_Class","Sex_of_Casualty","Age_Band_of_Casualty","Casualty_Severity","Pedestrian_Location","Pedestrian_Movement","Car_Passenger","Bus_or_Coach_Passenger","Pedestrian_Road_Maintenance_Worker","Casualty_Type","Casualty_Home_Area_Type"
"774","201001CP00001",2,1,1,1,5,3,0,0,0,0,-1,3,1
"775","201001CP00002",1,1,1,1,-1,3,0,0,0,0,-1,1,-1
"776","201001CP00003",1,1,1,1,6,3,0,0,0,0,-1,1,1
"777","201001CP00003",1,2,3,1,6,3,9,9,0,0,-1,0,1
"778","201001CP00004",1,1,3,1,7,3,9,6,0,0,-1,0,-1
"779","201001CP00005",1,1,1,1,5,3,0,0,0,0,-1,9,1
"780","201001CP00005",1,3,2,2,5,3,0,0,1,0,-1,9,1
"781","201001CP00005",1,4,2,1,4,3,0,0,2,0,-1,9,1
"782","201001CP00005",2,2,1,1,6,3,0,0,0,0,-1,19,-1
"783","201001CP00005",2,5,2,1,8,3,0,0,0,0,-1,19,-1
"785","201001CP00007",1,1,3,2,6,3,5,2,0,0,-1,0,1
"786","201001CP00008",2,1,1,1,6,3,0,0,0,0,-1,5,1
"787","201001CP00009",1,1,1,1,7,3,0,0,0,0,-1,8,1
"788","201001CP00011",1,1,3,1,8,3,1,1,0,0,-1,0,2
"789","201001CP00012",1,1,3,2,6,3,5,4,0,0,-1,0,1
"790","201001CP00012",1,2,1,1,6,3,0,0,0,0,-1,5,1
"791","201001CP00013",1,1,3,2,8,3,5,9,0,0,-1,0,1
"792","201001CP00014",2,1,1,1,8,3,0,0,0,0,-1,1,1
"793","201001CP00015",1,1,3,1,8,3,5,1,0,0,-1,0,-1
"794","201001CP00016",2,1,1,1,6,3,0,0,0,0,-1,3,1
"795","201001CP00017",1,1,3,2,6,3,1,3,0,0,-1,0,1
"796","201001CP00018",2,1,1,1,9,3,0,0,0,0,-1,5,1
"798","201001CP00020",2,1,1,1,7,2,0,0,0,0,-1,1,1
"799","201001CP00021",1,1,1,1,5,3,0,0,0,0,-1,5,1
"800","201001CP00022",2,1,1,1,7,3,0,0,0,0,-1,1,1
"801","201001CP00023",1,1,1,2,8,3,0,0,0,0,-1,11,1
"802","201001CP00023",1,2,3,1,-1,3,10,9,0,0,-1,0,1
"803","201001CP00023",1,3,3,2,7,3,10,9,0,0,-1,0,1
"804","201001CP00023",1,4,2,2,7,3,0,0,0,4,-1,11,1
"805","201001CP00023",1,5,2,2,4,3,0,0,0,4,-1,11,1
"806","201001CP00023",1,6,2,1,8,3,0,0,0,4,-1,11,1
"807","201001CP00023",1,7,2,2,8,3,0,0,0,4,-1,11,1
"808","201001CP00023",1,8,2,2,3,3,0,0,0,4,-1,11,-1
"809","201001CP00023",1,9,2,2,7,3,0,0,0,4,-1,11,-1
"810","201001CP00023",1,10,2,2,6,3,0,0,0,4,-1,11,1
"811","201001CP00024",1,1,3,2,6,3,5,3,0,0,-1,0,1
"812","201001CP00026",2,1,1,1,7,3,0,0,0,0,-1,8,1
"813","201001CP00027",1,1,3,1,8,3,4,3,0,0,-1,0,1
"815","201001CP00029",2,1,1,1,5,3,0,0,0,0,-1,3,1
"816","201001CP00030",1,1,1,1,9,3,0,0,0,0,-1,9,1
"817","201001CP00031",1,1,3,2,7,2,1,9,0,0,-1,0,1
"818","201001CP00032",2,1,1,1,9,3,0,0,0,0,-1,9,1
"819","201001CP00033",1,1,3,1,-1,3,1,3,0,0,-1,0,1
"820","201001CP00034",1,1,3,2,5,2,6,9,0,0,-1,0,1
"821","201001CP00035",1,1,1,1,7,2,0,0,0,0,-1,1,1
"822","201001CP00036",2,1,1,1,5,3,0,0,0,0,-1,1,1
"823","201001CP00037",1,1,1,1,9,3,0,0,0,0,-1,9,3
"824","201001CP00038",1,1,1,1,5,3,0,0,0,0,-1,1,1
"825","201001CP00039",2,1,1,1,6,3,0,0,0,0,-1,1,1
"826","201001CP00041",2,1,1,1,7,3,0,0,0,0,-1,3,1
"827","201001CP00042",2,1,1,1,7,3,0,0,0,0,-1,3,1
"828","201001CP00043",1,1,3,2,6,3,1,9,0,0,-1,0,-1
"829","201001CP00044",1,1,1,1,8,3,0,0,0,0,-1,9,1
"830","201001CP00045",1,1,3,1,5,3,10,1,0,0,-1,0,-1
"832","201001CP00047",1,1,1,1,-1,3,0,0,0,0,-1,1,1
"833","201001CP00048",1,1,3,2,7,3,6,9,0,0,-1,0,-1
"834","201001CP00049",1,1,2,1,8,3,0,0,0,4,-1,11,1
"835","201001CP00049",1,2,2,2,6,3,0,0,0,4,-1,11,1
"836","201001CP00050",1,1,3,1,6,2,5,1,0,0,-1,0,1
"837","201001CP00051",2,1,1,1,6,3,0,0,0,0,-1,1,1
"838","201001CP00052",2,1,1,1,-1,3,0,0,0,0,-1,1,-1
"839","201001CP00053",2,1,1,2,6,2,0,0,0,0,-1,1,1
"840","201001CP00054",1,1,1,1,6,2,0,0,0,0,-1,2,1
"841","201001CP00055",1,1,3,1,7,3,6,9,0,0,-1,0,1
"842","201001CP00056",1,1,1,1,7,3,0,0,0,0,-1,5,1
"843","201001CP00057",1,1,1,1,6,2,0,0,0,0,-1,1,1
"844","201001CP00058",1,2,2,1,6,3,0,0,2,0,-1,8,1
"845","201001CP00058",1,3,2,1,6,3,0,0,2,0,-1,8,1
"846","201001CP00058",2,1,1,1,7,2,0,0,0,0,-1,8,1
"847","201001CP00059",1,1,3,1,6,3,5,1,0,0,-1,0,-1
"848","201001CP00060",1,1,1,1,7,3,0,0,0,0,-1,5,1
"849","201001CP00061",1,1,3,2,6,3,1,1,0,0,-1,0,1
"850","201001CP00062",1,1,3,1,7,3,4,1,0,0,-1,0,1
"851","201001CP00063",2,1,1,1,7,3,0,0,0,0,-1,5,1
"852","201001CP00064",2,1,1,1,8,3,0,0,0,0,-1,1,1
"853","201001CP00065",2,1,1,1,6,3,0,0,0,0,-1,3,1
"854","201001CP00066",2,1,1,1,6,3,0,0,0,0,-1,19,1
"855","201001CP00066",3,2,1,1,8,3,0,0,0,0,-1,9,1
"856","201001CP00067",1,1,3,2,6,3,10,9,0,0,-1,0,1
"857","201001CP00068",1,1,3,1,5,3,4,1,0,0,-1,0,1
"858","201001CP00069",1,1,3,2,6,3,4,3,0,0,-1,0,1
"859","201001CP00070",2,1,1,1,6,3,0,0,0,0,-1,5,1
"860","201001CP00071",2,1,1,2,6,3,0,0,0,0,-1,1,1
"861","201001CP00072",1,1,3,2,8,3,5,9,0,0,-1,0,-1
"862","201001CP00073",1,1,1,1,5,3,0,0,0,0,-1,3,1
"863","201001CP00074",2,1,1,1,9,3,0,0,0,0,-1,1,1
"864","201001CP00075",1,1,1,1,8,3,0,0,0,0,-1,1,1
"865","201001CP00077",1,1,3,2,5,3,4,2,0,0,-1,0,1
"866","201001CP00078",1,1,1,1,6,3,0,0,0,0,-1,9,1
"867","201001CP00079",1,1,3,1,7,2,1,1,0,0,-1,0,2
"868","201001CP00080",2,1,1,1,6,3,0,0,0,0,-1,3,1
"869","201001CP00081",1,1,1,1,4,3,0,0,0,0,-1,19,1
"870","201001CP00082",1,1,3,2,9,3,1,1,0,0,-1,0,1
"871","201001CP00083",2,1,1,1,9,3,0,0,0,0,-1,5,3
"872","201001CP00084",1,1,1,1,9,3,0,0,0,0,-1,8,1
