"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"1213","201001CP00001",1,9,0,9,0,8,0,0,0,0,3,1,2,1,9,1596,1,20,10,1
"1214","201001CP00001",2,3,0,18,0,8,0,0,0,0,1,1,1,1,5,125,1,5,1,1
"1215","201001CP00002",1,1,0,18,0,8,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1
"1216","201001CP00002",2,8,0,9,0,8,0,0,0,0,4,1,1,3,-1,2402,2,7,-1,-1
"1217","201001CP00003",1,1,0,9,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,1,1
"1218","201001CP00004",1,9,0,18,0,0,0,0,0,0,4,1,15,3,-1,-1,-1,-1,-1,-1
"1219","201001CP00005",1,9,0,7,0,8,0,0,0,0,3,1,15,1,5,2616,1,4,2,1
"1220","201001CP00005",2,19,0,18,0,8,0,0,0,0,1,1,1,1,6,-1,-1,-1,-1,-1
"1222","201001CP00007",1,19,0,18,0,2,0,0,0,0,4,1,1,1,7,1868,2,4,7,1
"1223","201001CP00008",1,8,0,6,0,0,0,0,0,0,3,1,1,1,10,2496,2,11,10,1
"1224","201001CP00008",2,5,0,18,0,0,0,0,0,0,1,1,2,1,6,595,1,8,3,1
"1225","201001CP00009",1,8,0,18,0,1,0,0,1,10,1,1,1,1,7,2664,2,16,3,1
"1226","201001CP00011",1,90,0,18,0,8,0,0,0,0,3,1,1,3,-1,5883,2,4,-1,-1
"1227","201001CP00012",1,5,0,14,0,0,0,0,0,0,1,1,15,1,6,-1,-1,-1,8,1
"1228","201001CP00013",1,1,0,18,0,1,0,0,0,0,1,1,15,1,6,-1,-1,-1,1,1
"1229","201001CP00014",1,8,0,9,0,8,0,0,0,0,3,1,1,1,8,1968,2,4,1,1
"1230","201001CP00014",2,1,0,13,0,8,0,0,0,0,4,1,15,1,8,-1,-1,-1,4,1
"1231","201001CP00015",1,19,0,1,0,0,0,0,0,0,2,1,1,1,6,2198,2,3,1,1
"1232","201001CP00016",1,8,0,9,0,8,0,0,0,0,3,1,1,1,7,-1,-1,-1,7,1
"1233","201001CP00016",2,3,0,18,0,8,0,0,0,0,1,1,2,1,6,124,1,6,2,1
"1234","201001CP00017",1,1,0,18,0,2,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
"1235","201001CP00018",1,9,0,9,0,8,0,0,0,0,4,1,1,1,6,1497,8,2,2,1
"1236","201001CP00018",2,5,0,18,0,8,0,0,0,0,1,1,1,1,9,499,1,4,2,1
"1238","201001CP00020",1,11,0,4,0,8,0,0,0,0,0,1,2,3,-1,7300,2,9,-1,-1
"1239","201001CP00020",2,1,0,4,0,8,0,0,0,0,0,1,1,1,7,-1,-1,-1,2,1
"1240","201001CP00021",1,5,0,14,0,8,1,0,0,0,1,1,2,1,5,645,1,4,3,1
"1241","201001CP00021",2,8,0,9,0,5,0,0,0,0,1,1,1,1,9,2664,2,13,5,3
"1242","201001CP00022",1,8,0,6,0,0,0,0,0,0,3,1,1,1,8,2499,2,3,9,1
"1243","201001CP00022",2,1,0,14,0,0,0,0,0,0,1,1,1,1,7,-1,-1,-1,8,1
"1244","201001CP00023",1,11,0,9,0,6,0,10,1,10,1,1,1,2,8,2402,2,1,1,1
"1245","201001CP00024",1,20,0,1,0,0,0,0,0,0,2,1,15,3,-1,-1,-1,-1,-1,-1
"1246","201001CP00026",1,9,0,18,0,2,0,0,0,0,1,1,15,3,-1,1390,1,1,-1,-1
"1247","201001CP00026",2,8,0,4,0,2,0,0,0,0,2,1,1,1,7,2499,2,3,6,1
"1248","201001CP00027",1,8,0,9,0,8,0,0,0,0,1,1,1,1,9,2664,2,9,5,1
"1252","201001CP00029",1,8,0,2,0,2,0,0,0,0,2,1,1,1,7,2402,2,4,6,1
"1253","201001CP00029",2,3,0,13,0,2,0,0,0,0,1,1,15,1,5,125,1,2,1,1
"1254","201001CP00030",1,9,0,3,0,1,0,0,0,0,2,1,15,1,9,1390,1,12,1,1
"1255","201001CP00030",2,9,0,4,0,1,0,0,0,0,1,1,1,1,7,2172,2,6,2,1
"1256","201001CP00031",1,9,0,18,0,1,0,0,0,0,0,1,1,3,-1,-1,-1,-1,-1,-1
"1257","201001CP00032",1,9,0,18,0,1,0,0,0,0,1,1,15,1,7,2800,2,16,4,1
"1258","201001CP00032",2,9,0,3,0,1,0,0,0,0,2,1,15,1,9,1753,2,3,2,1
"1259","201001CP00033",1,8,0,17,0,8,0,0,0,0,1,1,1,1,7,1896,2,5,1,1
"1260","201001CP00034",1,11,0,18,0,1,0,0,0,0,4,1,15,3,-1,-1,-1,-1,-1,-1
"1261","201001CP00035",1,1,0,18,0,2,0,0,0,0,4,1,15,1,7,-1,-1,-1,2,1
"1262","201001CP00036",1,8,0,7,0,8,0,0,0,0,4,1,1,1,7,1997,2,1,5,1
"1263","201001CP00036",2,1,0,18,4,1,0,0,0,0,1,1,15,1,5,-1,-1,-1,1,1
"1264","201001CP00037",1,9,0,3,0,0,0,0,0,0,3,1,1,1,9,1797,8,1,8,3
"1265","201001CP00037",2,11,0,14,0,0,0,0,0,0,4,1,1,1,5,6370,2,1,-1,-1
"1266","201001CP00038",1,1,0,18,4,8,0,0,0,0,1,1,15,1,5,-1,-1,-1,2,1
